Date : 2023-09-04 16:53:18
Directory : c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree
Total : 89 files,  23569 codes, 529 comments, 1456 blanks, all 25554 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\PostFeeds\paginationtest.tsx                            | TypeScript JSX     |         41 |          0 |         17 |         58 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\BackButton.tsx                         | TypeScript JSX     |         35 |          0 |          6 |         41 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\CreatePostWizard.tsx                   | TypeScript JSX     |      1,020 |          1 |         32 |      1,053 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\EmojiPicker.tsx                        | TypeScript JSX     |         67 |          0 |          8 |         75 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\Messages\MessageFeed.tsx               | TypeScript JSX     |        180 |          7 |         41 |        228 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\Messages\MessageView.tsx               | TypeScript JSX     |        224 |          7 |         14 |        245 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\Messages\MessagesSearch.tsx            | TypeScript JSX     |        165 |          2 |         21 |        188 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\Messages\NewMessageModal.tsx           | TypeScript JSX     |         77 |          0 |          5 |         82 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\Messages\PreviousConversations.tsx     | TypeScript JSX     |        151 |          7 |         23 |        181 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\SearchForm.tsx                         | TypeScript JSX     |        171 |          2 |          9 |        182 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\Trends.tsx                             | TypeScript JSX     |         56 |          0 |          9 |         65 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\Users\RetweetedBy.tsx                  | TypeScript JSX     |         43 |          1 |          6 |         50 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\Users\SearchResultCards.tsx            | TypeScript JSX     |        160 |          3 |          8 |        171 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\Users\SuggestedUsers.tsx               | TypeScript JSX     |        206 |          5 |         21 |        232 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\Users\UserHover.tsx                    | TypeScript JSX     |        111 |          0 |          5 |        116 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\loading.tsx                            | TypeScript JSX     |         25 |          0 |          4 |         29 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\postview.tsx                           | TypeScript JSX     |      1,575 |         57 |        126 |      1,758 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\SidebarIcons\LogoHomePageLink.tsx                       | TypeScript JSX     |         23 |          0 |          7 |         30 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\SidebarIcons\MessagesIcon.tsx                           | TypeScript JSX     |         10 |          0 |          0 |         10 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\SidebarIcons\MessagesLink.tsx                           | TypeScript JSX     |         26 |          0 |          8 |         34 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\SidebarIcons\Sidebar.tsx                                | TypeScript JSX     |         20 |          0 |          4 |         24 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\UserFeeds\onlyUsersSearchResults.tsx                    | TypeScript JSX     |        220 |         10 |         27 |        257 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\UserFeeds\userSearchResults.tsx                         | TypeScript JSX     |        108 |          6 |         18 |        132 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\customHooks\outsideClick.tsx                            | TypeScript JSX     |         25 |          0 |          6 |         31 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\layout.tsx                                              | TypeScript JSX     |         69 |          0 |          4 |         73 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\env.mjs                                                            | JavaScript         |         45 |         19 |          5 |         69 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\middleware.ts                                                      | TypeScript         |         19 |          1 |          2 |         22 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\[slug].tsx                                                   | TypeScript JSX     |        324 |          4 |         34 |        362 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\[slug]\likes.tsx                                             | TypeScript JSX     |        312 |         22 |         32 |        366 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\[slug]\replies.tsx                                           | TypeScript JSX     |        312 |          4 |         33 |        349 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\_app.tsx                                                     | TypeScript JSX     |         35 |          1 |          4 |         40 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\api\trpc\[trpc].ts                                           | TypeScript         |         16 |          1 |          2 |         19 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\followers\[slug].tsx                                         | TypeScript JSX     |        212 |          2 |         28 |        242 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\following\[slug].tsx                                         | TypeScript JSX     |        209 |          2 |         29 |        240 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\i\search.tsx                                                 | TypeScript JSX     |        154 |          4 |         10 |        168 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\i\suggested_users.tsx                                        | TypeScript JSX     |         17 |          0 |          6 |         23 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\i\trends.tsx                                                 | TypeScript JSX     |         17 |          0 |          7 |         24 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\index.tsx                                                    | TypeScript JSX     |        106 |          2 |         11 |        119 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\messages\[id].tsx                                            | TypeScript JSX     |        129 |          0 |         22 |        151 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\messages\index.tsx                                           | TypeScript JSX     |         99 |          1 |         14 |        114 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\post\[id].tsx                                                | TypeScript JSX     |         62 |          1 |         14 |         77 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\reply\[id].tsx                                               | TypeScript JSX     |         63 |          1 |         14 |         78 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\sign-in\[[...index]].tsx                                     | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\sign-up\[[...index]].tsx                                     | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\root.ts                                                 | TypeScript         |         14 |          6 |          4 |         24 |
