"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "Markdown", "TypeScript JSX", "CSS", "YAML", "Prisma", "comment", "blank", "total"
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\SearchForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 171, 0, 0, 0, 2, 9, 182
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\Trends.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 9, 65
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\Users\RetweetedBy.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 6, 50
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\Users\SearchResultCards.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 160, 0, 0, 0, 3, 8, 171
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\Users\SuggestedUsers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 206, 0, 0, 0, 5, 21, 232
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\Users\UserHover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 5, 116
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\ReusableElements\postview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1575, 0, 0, 0, 57, 126, 1758
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\SidebarIcons\LogoHomePageLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 7, 30
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\SidebarIcons\MessagesIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\SidebarIcons\MessagesLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 8, 34
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\SidebarIcons\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\UserFeeds\onlyUsersSearchResults.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 220, 0, 0, 0, 10, 27, 257
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\UserFeeds\userSearchResults.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 108, 0, 0, 0, 6, 18, 132
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\customHooks\outsideClick.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 4, 73
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\env.mjs", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 19, 5, 69
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\middleware.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 2, 22
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\[slug].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 324, 0, 0, 0, 4, 34, 362
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\[slug]\likes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 312, 0, 0, 0, 22, 32, 366
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\[slug]\replies.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 312, 0, 0, 0, 4, 33, 349
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\_app.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 4, 40
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\api\trpc\[trpc].ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\followers\[slug].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 212, 0, 0, 0, 2, 28, 242
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\following\[slug].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 209, 0, 0, 0, 2, 29, 240
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\i\search.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 154, 0, 0, 0, 4, 10, 168
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\i\suggested_users.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\i\trends.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 7, 24
